Temp (K)	alpha (K^-1) 
177.3333	1.8675e-04
177.6296	1.8696e-04
177.9259	1.8716e-04
178.2222	1.8736e-04
178.5185	1.8757e-04
178.8148	1.8777e-04
179.1111	1.8797e-04
179.4074	1.8817e-04
179.7037	1.8837e-04
180.0000	1.8857e-04
180.2963	1.8877e-04
180.5926	1.8897e-04
180.8889	1.8917e-04
181.1852	1.8936e-04
181.4815	1.8956e-04
181.7778	1.8976e-04
182.0741	1.8995e-04
182.3704	1.9015e-04
182.6667	1.9034e-04
182.9630	1.9054e-04
183.2593	1.9073e-04
183.5556	1.9092e-04
183.8519	1.9112e-04
184.1481	1.9131e-04
184.4444	1.9150e-04
184.7407	1.9169e-04
185.0370	1.9188e-04
185.3333	1.9207e-04
185.6296	1.9226e-04
185.9259	1.9245e-04
186.2222	1.9264e-04
186.5185	1.9283e-04
186.8148	1.9302e-04
187.1111	1.9320e-04
187.4074	1.9339e-04
187.7037	1.9358e-04
188.0000	1.9376e-04
188.2963	1.9395e-04
188.5926	1.9413e-04
188.8889	1.9431e-04
189.1852	1.9450e-04
189.4815	1.9468e-04
189.7778	1.9486e-04
190.0741	1.9504e-04
190.3704	1.9522e-04
190.6667	1.9541e-04
190.9630	1.9559e-04
191.2593	1.9576e-04
191.5556	1.9594e-04
191.8519	1.9612e-04
192.1481	1.9630e-04
192.4444	1.9648e-04
192.7407	1.9665e-04
193.0370	1.9683e-04
193.3333	1.9701e-04
193.6296	1.9718e-04
193.9259	1.9736e-04
194.2222	1.9753e-04
194.5185	1.9770e-04
194.8148	1.9788e-04
195.1111	1.9805e-04
195.4074	1.9822e-04
195.7037	1.9839e-04
196.0000	1.9857e-04
196.2963	1.9874e-04
196.5926	1.9891e-04
196.8889	1.9908e-04
197.1852	1.9924e-04
197.4815	1.9941e-04
197.7778	1.9958e-04
198.0741	1.9975e-04
198.3704	1.9991e-04
198.6667	2.0008e-04
198.9630	2.0025e-04
199.2593	2.0041e-04
199.5556	2.0058e-04
199.8519	2.0074e-04
200.1481	2.0090e-04
200.4444	2.0107e-04
200.7407	2.0123e-04
201.0370	2.0139e-04
201.3333	2.0155e-04
201.6296	2.0171e-04
201.9259	2.0188e-04
202.2222	2.0203e-04
202.5185	2.0219e-04
202.8148	2.0235e-04
203.1111	2.0251e-04
203.4074	2.0267e-04
203.7037	2.0283e-04
204.0000	2.0298e-04
204.2963	2.0314e-04
204.5926	2.0330e-04
204.8889	2.0345e-04
205.1852	2.0360e-04
205.4815	2.0376e-04
205.7778	2.0391e-04
206.0741	2.0407e-04
206.3704	2.0422e-04
206.6667	2.0437e-04
206.9630	2.0452e-04
207.2593	2.0467e-04
207.5556	2.0482e-04
207.8519	2.0497e-04
208.1481	2.0512e-04
208.4444	2.0527e-04
208.7407	2.0542e-04
209.0370	2.0557e-04
209.3333	2.0571e-04
209.6296	2.0586e-04
209.9259	2.0601e-04
210.2222	2.0615e-04
210.5185	2.0630e-04
210.8148	2.0644e-04
211.1111	2.0659e-04
211.4074	2.0673e-04
211.7037	2.0687e-04
212.0000	2.0701e-04
212.2963	2.0716e-04
212.5926	2.0730e-04
212.8889	2.0744e-04
213.1852	2.0758e-04
213.4815	2.0772e-04
213.7778	2.0786e-04
214.0741	2.0800e-04
214.3704	2.0814e-04
214.6667	2.0827e-04
214.9630	2.0841e-04
215.2593	2.0855e-04
215.5556	2.0868e-04
215.8519	2.0882e-04
216.1481	2.0895e-04
216.4444	2.0909e-04
216.7407	2.0922e-04
217.0370	2.0936e-04
217.3333	2.0949e-04
217.6296	2.0962e-04
217.9259	2.0975e-04
218.2222	2.0988e-04
218.5185	2.1001e-04
218.8148	2.1014e-04
219.1111	2.1027e-04
219.4074	2.1040e-04
219.7037	2.1053e-04
220.0000	2.1066e-04
220.2963	2.1079e-04
220.5926	2.1091e-04
220.8889	2.1104e-04
221.1852	2.1117e-04
221.4815	2.1129e-04
221.7778	2.1142e-04
222.0741	2.1154e-04
222.3704	2.1167e-04
222.6667	2.1179e-04
222.9630	2.1191e-04
223.2593	2.1203e-04
223.5556	2.1216e-04
223.8519	2.1228e-04
224.1481	2.1240e-04
224.4444	2.1252e-04
224.7407	2.1264e-04
225.0370	2.1276e-04
225.3333	2.1288e-04
225.6296	2.1299e-04
225.9259	2.1311e-04
226.2222	2.1323e-04
226.5185	2.1334e-04
226.8148	2.1346e-04
227.1111	2.1358e-04
227.4074	2.1369e-04
227.7037	2.1380e-04
228.0000	2.1392e-04
228.2963	2.1403e-04
228.5926	2.1414e-04
228.8889	2.1426e-04
229.1852	2.1437e-04
229.4815	2.1448e-04
229.7778	2.1459e-04
230.0741	2.1470e-04
230.3704	2.1481e-04
230.6667	2.1492e-04
230.9630	2.1503e-04
231.2593	2.1514e-04
231.5556	2.1524e-04
231.8519	2.1535e-04
232.1481	2.1546e-04
232.4444	2.1556e-04
232.7407	2.1567e-04
233.0370	2.1577e-04
233.3333	2.1588e-04
233.6296	2.1598e-04
233.9259	2.1608e-04
234.2222	2.1619e-04
234.5185	2.1629e-04
234.8148	2.1639e-04
235.1111	2.1649e-04
235.4074	2.1659e-04
235.7037	2.1669e-04
236.0000	2.1679e-04
236.2963	2.1689e-04
236.5926	2.1699e-04
236.8889	2.1709e-04
237.1852	2.1718e-04
237.4815	2.1728e-04
237.7778	2.1738e-04
238.0741	2.1747e-04
238.3704	2.1757e-04
238.6667	2.1766e-04
238.9630	2.1776e-04
239.2593	2.1785e-04
239.5556	2.1794e-04
239.8519	2.1804e-04
240.1481	2.1813e-04
240.4444	2.1822e-04
240.7407	2.1831e-04
241.0370	2.1840e-04
241.3333	2.1849e-04
241.6296	2.1858e-04
241.9259	2.1867e-04
242.2222	2.1876e-04
242.5185	2.1885e-04
242.8148	2.1893e-04
243.1111	2.1902e-04
243.4074	2.1911e-04
243.7037	2.1919e-04
244.0000	2.1928e-04
244.2963	2.1936e-04
244.5926	2.1944e-04
244.8889	2.1953e-04
245.1852	2.1961e-04
245.4815	2.1969e-04
245.7778	2.1978e-04
246.0741	2.1986e-04
246.3704	2.1994e-04
246.6667	2.2002e-04
246.9630	2.2010e-04
247.2593	2.2018e-04
247.5556	2.2026e-04
247.8519	2.2034e-04
248.1481	2.2041e-04
248.4444	2.2049e-04
248.7407	2.2057e-04
249.0370	2.2064e-04
249.3333	2.2072e-04
249.6296	2.2079e-04
249.9259	2.2087e-04
250.2222	2.2094e-04
250.5185	2.2102e-04
250.8148	2.2109e-04
251.1111	2.2116e-04
251.4074	2.2123e-04
251.7037	2.2130e-04
252.0000	2.2138e-04
252.2963	2.2145e-04
252.5926	2.2152e-04
252.8889	2.2158e-04
253.1852	2.2165e-04
253.4815	2.2172e-04
253.7778	2.2179e-04
254.0741	2.2186e-04
254.3704	2.2192e-04
254.6667	2.2199e-04
254.9630	2.2205e-04
255.2593	2.2212e-04
255.5556	2.2218e-04
255.8519	2.2225e-04
256.1481	2.2231e-04
256.4444	2.2237e-04
256.7407	2.2244e-04
257.0370	2.2250e-04
257.3333	2.2256e-04
257.6296	2.2262e-04
257.9259	2.2268e-04
258.2222	2.2274e-04
258.5185	2.2280e-04
258.8148	2.2286e-04
259.1111	2.2292e-04
259.4074	2.2297e-04
259.7037	2.2303e-04
260.0000	2.2309e-04
260.2963	2.2314e-04
260.5926	2.2320e-04
260.8889	2.2325e-04
261.1852	2.2331e-04
261.4815	2.2336e-04
261.7778	2.2342e-04
262.0741	2.2347e-04
262.3704	2.2352e-04
262.6667	2.2357e-04
262.9630	2.2362e-04
263.2593	2.2367e-04
263.5556	2.2372e-04
263.8519	2.2377e-04
264.1481	2.2382e-04
264.4444	2.2387e-04
264.7407	2.2392e-04
265.0370	2.2397e-04
265.3333	2.2401e-04
265.6296	2.2406e-04
265.9259	2.2411e-04
266.2222	2.2415e-04
266.5185	2.2420e-04
266.8148	2.2424e-04
267.1111	2.2429e-04
267.4074	2.2433e-04
267.7037	2.2437e-04
268.0000	2.2441e-04
268.2963	2.2446e-04
268.5926	2.2450e-04
268.8889	2.2454e-04
269.1852	2.2458e-04
269.4815	2.2462e-04
269.7778	2.2466e-04
270.0741	2.2469e-04
270.3704	2.2473e-04
270.6667	2.2477e-04
270.9630	2.2481e-04
271.2593	2.2484e-04
271.5556	2.2488e-04
271.8519	2.2491e-04
272.1481	2.2495e-04
272.4444	2.2498e-04
272.7407	2.2502e-04
273.0370	2.2505e-04
273.3333	2.2508e-04
273.6296	2.2512e-04
273.9259	2.2515e-04
274.2222	2.2518e-04
274.5185	2.2521e-04
274.8148	2.2524e-04
275.1111	2.2527e-04
275.4074	2.2530e-04
275.7037	2.2533e-04
276.0000	2.2535e-04
276.2963	2.2538e-04
276.5926	2.2541e-04
276.8889	2.2543e-04
277.1852	2.2546e-04
277.4815	2.2549e-04
277.7778	2.2551e-04
278.0741	2.2553e-04
278.3704	2.2556e-04
278.6667	2.2558e-04
278.9630	2.2560e-04
279.2593	2.2563e-04
279.5556	2.2565e-04
279.8519	2.2567e-04
280.1481	2.2569e-04
280.4444	2.2571e-04
280.7407	2.2573e-04
281.0370	2.2575e-04
281.3333	2.2577e-04
281.6296	2.2578e-04
281.9259	2.2580e-04
282.2222	2.2582e-04
282.5185	2.2583e-04
282.8148	2.2585e-04
283.1111	2.2586e-04
283.4074	2.2588e-04
283.7037	2.2589e-04
284.0000	2.2591e-04
284.2963	2.2592e-04
284.5926	2.2593e-04
284.8889	2.2594e-04
285.1852	2.2596e-04
285.4815	2.2597e-04
285.7778	2.2598e-04
286.0741	2.2599e-04
286.3704	2.2600e-04
286.6667	2.2601e-04
286.9630	2.2601e-04
287.2593	2.2602e-04
287.5556	2.2603e-04
287.8519	2.2604e-04
288.1481	2.2604e-04
288.4444	2.2605e-04
288.7407	2.2605e-04
289.0370	2.2606e-04
289.3333	2.2606e-04
289.6296	2.2606e-04
289.9259	2.2607e-04
290.2222	2.2607e-04
290.5185	2.2607e-04
290.8148	2.2607e-04
291.1111	2.2607e-04
291.4074	2.2607e-04
291.7037	2.2607e-04
292.0000	2.2607e-04
292.2963	2.2607e-04
292.5926	2.2607e-04
292.8889	2.2607e-04
293.1852	2.2606e-04
293.4815	2.2606e-04
293.7778	2.2606e-04
294.0741	2.2605e-04
294.3704	2.2605e-04
294.6667	2.2604e-04
294.9630	2.2604e-04
295.2593	2.2603e-04
295.5556	2.2602e-04
295.8519	2.2602e-04
296.1481	2.2601e-04
296.4444	2.2600e-04
296.7407	2.2599e-04
297.0370	2.2598e-04
297.3333	2.2597e-04
297.6296	2.2596e-04
297.9259	2.2595e-04
298.2222	2.2594e-04
298.5185	2.2592e-04
298.8148	2.2591e-04
299.1111	2.2590e-04
299.4074	2.2588e-04
299.7037	2.2587e-04
